"Date","hour","Account","kWh","month","day","year","Day of Week","Weekday","Peakhour","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_SpeedMPH","Conditions","WindDirDegrees"
"01/01/2014","0",26908650026,132.369999,"1","1","2014",3,1,0,NA,NA,NA,NA,NA,NA,"Mostly Cloudy",330
"01/01/2014","1",26908650026,132.719997,"1","1","2014",3,1,0,41,30,55,NA,NA,0,"Mostly Cloudy",330
"01/01/2014","2",26908650026,129.029997,"1","1","2014",3,1,0,42.8,33.8,70,30.12,6.2,4.6,"Mostly Cloudy",70
"01/01/2014","3",26908650026,125.759998,"1","1","2014",3,1,0,44.6,33.8,66,30.12,6.2,2.3,"Mostly Cloudy",50
"01/01/2014","4",26908650026,129.389997,"1","1","2014",3,1,0,44.6,33.8,66,30.12,6.2,3.5,"Mostly Cloudy",0
"01/01/2014","5",26908650026,132.509998,"1","1","2014",3,1,0,44.6,33.8,66,30.12,6.2,5.8,"Overcast",360
"01/01/2014","6",26908650026,134.929996,"1","1","2014",3,1,0,46.4,33.8,62,30.09,6.2,5.8,"Mostly Cloudy",10
"01/01/2014","7",26908650026,122.809998,"1","1","2014",3,1,1,46.4,32,57,30.09,6.2,3.5,"Mostly Cloudy",0
"01/01/2014","8",26908650026,119.959996,"1","1","2014",3,1,1,46.4,33.8,62,30.12,6.2,4.6,"Mostly Cloudy",110
"01/01/2014","9",26908650026,123.159999,"1","1","2014",3,1,1,44.6,33.8,66,30.12,6.2,2.3,"Mostly Cloudy",140
"01/01/2014","10",26908650026,129.109998,"1","1","2014",3,1,1,42.8,33.8,70,30.12,6.2,4.6,"Mostly Cloudy",80
"01/01/2014","11",26908650026,125.829996,"1","1","2014",3,1,1,41,32,70,30.12,6.2,6.9,"Overcast",60
"01/01/2014","12",26908650026,120.909997,"1","1","2014",3,1,1,41,32,70,30.15,6.2,4.6,"Overcast",60
"01/01/2014","13",26908650026,125.199997,"1","1","2014",3,1,1,42.8,30.2,61,30.15,6.2,4.6,"Overcast",170
"01/01/2014","14",26908650026,128.589997,"1","1","2014",3,1,1,42.2666666666667,30.1777777777778,61.4444444444444,30.1476923076923,6.2,4.33333333333333,"Overcast",330
"01/01/2014","15",26908650026,143.169998,"1","1","2014",3,1,1,41.7333333333333,30.1555555555556,61.8888888888889,30.1453846153846,6.2,4.06666666666667,"Overcast",330
"01/01/2014","16",26908650026,139.999998,"1","1","2014",3,1,1,41.2,30.1333333333333,62.3333333333333,30.1430769230769,6.2,3.8,"Overcast",330
"01/01/2014","17",26908650026,138.639995,"1","1","2014",3,1,1,40.6666666666667,30.1111111111111,62.7777777777778,30.1407692307692,6.2,3.53333333333333,"Overcast",330
"01/01/2014","18",26908650026,143.199999,"1","1","2014",3,1,1,40.1333333333333,30.0888888888889,63.2222222222222,30.1384615384615,6.2,3.26666666666667,"Overcast",330
"01/01/2014","19",26908650026,147.119998,"1","1","2014",3,1,0,39.6,30.0666666666667,63.6666666666667,30.1361538461538,6.2,3,"Overcast",330
"01/01/2014","20",26908650026,147.829998,"1","1","2014",3,1,0,39.0666666666667,30.0444444444444,64.1111111111111,30.1338461538462,6.2,2.73333333333333,"Overcast",330
"01/01/2014","21",26908650026,134.879996,"1","1","2014",3,1,0,38.5333333333333,30.0222222222222,64.5555555555556,30.1315384615385,6.2,2.46666666666667,"Overcast",330
"01/01/2014","22",26908650026,128.909999,"1","1","2014",3,1,0,38,30,65,30.1292307692308,6.2,2.2,"Overcast",340
"01/01/2014","23",26908650026,124.499995,"1","1","2014",3,1,0,38.3333333333333,30,63.6666666666667,30.1269230769231,6.2,1.46666666666667,"Overcast",330
"01/02/2014","0",26908650026,121.129999,"1","2","2014",4,1,0,38.6666666666667,30,62.3333333333333,30.1246153846154,6.2,0.733333333333333,"Overcast",330
