"Date","hour","Weekday","Peakhour","TemperatureF","Humidity","predicted.kwh"
"10/01/2016","0",0,0,57.9,97,75.7012932579378
"10/01/2016","1",0,0,57.9,97,75.7012932579378
"10/01/2016","2",0,0,57.9,97,75.7012932579378
"10/01/2016","3",0,0,57,100,72.9283717090032
"10/01/2016","4",0,0,57,100,72.9283717090032
"10/01/2016","5",0,0,57,100,72.9283717090032
"10/01/2016","6",0,0,57,100,72.9283717090032
"10/01/2016","7",0,0,55.9,100,71.1069692169878
"10/01/2016","8",0,1,55.9,100,196.201269575429
"10/01/2016","9",0,1,55.9,100,196.201269575429
"10/01/2016","10",0,1,57,100,198.022672067445
"10/01/2016","11",0,1,57.9,97,200.795593616379
"10/01/2016","12",0,1,57.9,100,199.499877460688
"10/01/2016","13",0,1,57.9,100,199.499877460688
"10/01/2016","14",0,1,57,100,198.022672067445
"10/01/2016","15",0,1,55.9,100,196.201269575429
"10/01/2016","16",0,1,55,100,194.697659003933
"10/01/2016","17",0,1,55,100,194.697659003933
"10/01/2016","18",0,1,55.9,97,197.49698573112
"10/01/2016","19",0,1,55.9,100,196.201269575429
"10/01/2016","20",0,0,55,96,71.3354217511417
"10/01/2016","21",0,0,55,93,72.6582795844264
"10/01/2016","22",0,0,55,100,69.6033586454916
"10/01/2016","23",0,0,55,100,69.6033586454916
"10/02/2016","0",0,0,55,100,69.6033586454916
"10/02/2016","1",0,0,54,100,67.9181783239678
"10/02/2016","2",0,0,53.1,100,66.3881246489323
"10/02/2016","3",0,0,53.1,100,66.3881246489323
"10/02/2016","4",0,0,54,100,67.9181783239678
"10/02/2016","5",0,0,54,100,67.9181783239678
"10/02/2016","6",0,0,54,100,67.9181783239678
"10/02/2016","7",0,0,54,97,69.2138944796591
"10/02/2016","8",0,1,54,100,193.012478682409
"10/02/2016","9",0,1,55,96,196.429722109583
"10/02/2016","10",0,1,55.9,93,199.256190514364
"10/02/2016","11",0,1,55.9,93,199.256190514364
"10/02/2016","12",0,1,55.9,93,199.256190514364
"10/02/2016","13",0,1,57,89,202.875054792691
"10/02/2016","14",0,1,55.9,93,199.256190514364
"10/02/2016","15",0,1,57,89,202.875054792691
"10/02/2016","16",0,1,57,87,203.788936141449
"10/02/2016","17",0,1,55.9,93,199.256190514364
"10/02/2016","18",0,1,57,89,202.875054792691
"10/02/2016","19",0,1,55.9,93,199.256190514364
"10/02/2016","20",0,0,55.9,93,74.1618901559225
"10/02/2016","21",0,0,55.9,93,74.1618901559225
"10/02/2016","22",0,0,57,89,77.7807544342494
"10/02/2016","23",0,0,55.9,93,74.1618901559225
"10/03/2016","0",1,0,55.9,93,146.134480636308
"10/03/2016","1",1,0,55.9,93,146.134480636308
"10/03/2016","2",1,0,55.9,93,146.134480636308
"10/03/2016","3",1,0,55.9,97,144.375275853064
"10/03/2016","4",1,0,55.9,97,144.375275853064
"10/03/2016","5",1,0,57,93,147.955883128323
"10/03/2016","6",1,0,57.9,90,150.777460471243
"10/03/2016","7",1,0,57.9,93,149.433088521566
"10/03/2016","8",1,1,62.1,80,287.269570804092
"10/03/2016","9",1,1,64,75,292.681301822492
"10/03/2016","10",1,1,66,70,298.28496063379
"10/03/2016","11",1,1,66.9,73,298.137639169902
"10/03/2016","12",1,1,66,73,296.764111011293
"10/03/2016","13",1,1,64.9,78,292.605680558493
"10/03/2016","14",1,1,64,75,292.681301822492
"10/03/2016","15",1,1,64,75,292.681301822492
"10/03/2016","16",1,1,62.1,84,285.376008887007
"10/03/2016","17",1,1,59,93,276.317356996116
"10/03/2016","18",1,1,59,93,276.317356996116
"10/03/2016","19",1,1,59,96,274.994499162832
"10/03/2016","20",1,0,59,93,151.223056637675
"10/03/2016","21",1,0,60.1,90,154.340786895948
"10/03/2016","22",1,0,59,90,152.567428587351
"10/03/2016","23",1,0,59,93,151.223056637675
"10/04/2016","0",1,0,59,87,153.934399772744
"10/04/2016","1",1,0,59,87,153.934399772744
"10/04/2016","2",1,0,59,81,156.740964274008
"10/04/2016","3",1,0,57.9,87,152.144431656636
"10/04/2016","4",1,0,57.9,90,150.777460471243
"10/04/2016","5",1,0,57.9,90,150.777460471243
"10/04/2016","6",1,0,59,93,151.223056637675
"10/04/2016","7",1,0,60.1,83,157.567594439648
"10/04/2016","8",1,1,61,81,285.047515925154
"10/04/2016","9",1,1,62.1,78,288.23410869431
"10/04/2016","10",1,1,62.1,72,291.204417984838
"10/04/2016","11",1,1,62.1,70,292.221850786541
"10/04/2016","12",1,1,61,70,290.477543270008
"10/04/2016","13",1,1,61,70,290.477543270008
"10/04/2016","14",1,1,60.1,69,289.552817702432
"10/04/2016","15",1,1,60.1,64,292.181451516315
"10/04/2016","16",1,1,57.9,67,287.029127552397
"10/04/2016","17",1,1,55.9,72,281.159283174233
"10/04/2016","18",1,1,55,69,281.187272820972
"10/04/2016","19",1,1,55,77,277.172269789804
"10/04/2016","20",1,0,54,80,148.941344742026
"10/04/2016","21",1,0,53.1,80,147.41129106699
"10/04/2016","22",1,0,52,86,142.700075109198
"10/04/2016","23",1,0,51.1,86,141.140621814091
"10/05/2016","0",1,0,50,89,137.841091520733
"10/05/2016","1",1,0,50,86,139.215852913848
"10/05/2016","2",1,0,50,86,139.215852913848
"10/05/2016","3",1,0,48,89,134.286459652687
"10/05/2016","4",1,0,48.9,90,135.441941290281
"10/05/2016","6",1,0,48.9,90,135.441941290281
"10/05/2016","7",1,0,51.1,86,141.140621814091
"10/05/2016","8",1,1,55,80,275.720825421991
"10/05/2016","9",1,1,57.9,75,282.957880409041
"10/05/2016","10",1,1,59,69,287.779459393835
"10/05/2016","11",1,1,59,69,287.779459393835
"10/05/2016","12",1,1,60.1,67,290.592453977102
"10/05/2016","13",1,1,59,69,287.779459393835
"10/05/2016","14",1,1,59,67,288.819095668505
"10/05/2016","15",1,1,57.9,72,284.457891059492
"10/05/2016","16",1,1,57,72,282.980685666249
"10/05/2016","17",1,1,55.9,75,279.659272523782
"10/05/2016","18",1,1,55,77,277.172269789804
"10/05/2016","19",1,1,55,77,277.172269789804
"10/05/2016","20",1,0,55,80,150.626525063549
"10/05/2016","21",1,0,55,80,150.626525063549
"10/05/2016","22",1,0,54,83,147.516869236664
"10/05/2016","23",1,0,52,89,141.325313716083
"10/06/2016","0",1,0,52,86,142.700075109198
"10/06/2016","1",1,0,51.1,89,139.765860420977
"10/06/2016","2",1,0,50,93,136.043629734422
"10/06/2016","3",1,0,51.1,89,139.765860420977
